,aqi,city,code,indicator,level,time
351,51,乌鲁木齐市,650100,颗粒物(PM10),良,2018-06-15 22:00:00
352,34,克拉玛依市,650200,,优,2018-06-15 22:00:00
353,81,吐鲁番地区,652100,颗粒物(PM10),良,2018-06-15 22:00:00
354,50,哈密地区,652200,,优,2018-06-15 22:00:00
355,46,昌吉州,652300,,优,2018-06-15 22:00:00
356,32,博州,652700,,优,2018-06-15 22:00:00
357,50,库尔勒市,652800,,优,2018-06-15 22:00:00
358,44,阿克苏地区,652900,,优,2018-06-15 22:00:00
359,45,克州,653000,,优,2018-06-15 22:00:00
360,55,喀什地区,653100,颗粒物(PM10),良,2018-06-15 22:00:00
361,191,和田地区,653200,颗粒物(PM10),中度污染,2018-06-15 22:00:00
362,26,伊犁哈萨克州,654000,,优,2018-06-15 22:00:00
363,37,塔城地区,654200,,优,2018-06-15 22:00:00
364,24,阿勒泰地区,654300,,优,2018-06-15 22:00:00
365,51,石河子市,659001,颗粒物(PM10),良,2018-06-15 22:00:00
366,39,五家渠市,659004,,优,2018-06-15 22:00:00
